iter	RMSE
0	18522.62053
1	16957.04783
2	15565.98027
3	14342.95136
4	13268.47307
5	12327.02216
6	11510.63335
7	10806.07955
8	10182.10294
9	9649.958296
10	9195.584727
11	8811.993506
12	8485.948707
13	8204.81533
14	7967.35848
15	7771.634687
16	7601.618602
17	7457.03485
18	7333.241462
19	7231.142333
20	7141.328907
21	7062.127961
22	6992.568598
23	6939.9354
24	6892.879274
25	6848.485852
26	6807.027823
27	6766.462742
28	6732.059556
29	6704.484177
30	6676.2293
31	6654.53614
32	6621.465716
33	6594.123926
34	6565.122689
35	6540.621601
36	6520.798762
37	6505.470746
38	6486.636505
39	6465.741709
40	6438.995505
41	6426.659964
42	6410.400901
43	6396.66888
44	6381.207017
45	6362.221624
46	6346.755959
47	6336.218528
48	6312.965583
49	6303.940439
50	6287.737053
51	6275.296698
52	6263.146345
53	6253.778099
54	6245.849224
55	6232.904042
56	6222.029235
57	6205.090782
58	6194.276581
59	6187.3386
60	6173.874876
61	6165.148189
62	6151.743898
63	6139.831907
64	6127.766382
65	6117.547217
66	6108.256185
67	6099.996288
68	6093.044336
69	6083.216749
70	6075.739935
71	6067.761376
72	6061.212286
73	6053.699811
74	6045.605808
75	6039.086926
76	6032.245153
77	6027.10089
78	6018.708628
79	6008.664048
80	6003.725447
81	5995.640784
82	5986.078394
83	5977.454653
84	5971.232636
85	5963.8538
86	5956.036835
87	5947.946205
88	5938.237679
89	5931.971473
90	5922.278954
91	5916.370601
92	5908.842407
93	5902.322862
94	5898.329436
95	5894.455664
96	5888.333471
97	5883.070543
98	5873.52761
99	5866.783827
100	5860.122694
101	5855.610915
102	5851.606808
103	5845.601236
104	5837.575866
105	5831.150657
106	5821.424676
107	5814.600745
108	5806.412787
109	5800.781102
110	5793.636018
111	5788.771402
112	5784.788801
113	5781.154448
114	5774.97199
115	5766.631257
116	5761.362593
117	5751.351836
118	5747.805163
119	5741.275097
120	5736.49411
121	5730.432913
122	5723.354889
123	5719.923317
124	5714.704111
125	5707.83205
126	5701.504659
127	5697.443241
128	5691.218155
129	5685.920177
130	5680.665708
131	5673.73422
132	5667.446238
133	5663.725911
134	5656.632417
135	5650.665746
136	5647.585845
137	5643.344462
138	5639.274598
139	5633.322209
140	5629.835136
141	5624.732378
142	5620.735676
143	5616.781429
144	5613.004986
145	5607.439456
146	5605.575758
147	5599.977517
148	5595.933902
149	5592.803411
150	5588.839934
151	5585.068855
152	5580.932823
153	5575.788531
154	5572.584051
155	5568.628244
156	5561.640723
157	5552.694246
158	5548.315911
159	5545.299402
160	5539.267499
161	5535.72622
162	5530.922498
163	5527.754457
164	5525.133458
165	5517.975657
166	5511.0913
167	5508.541345
168	5503.219023
169	5500.747961
170	5496.401845
171	5493.29811
172	5488.523555
173	5485.719981
174	5483.282523
175	5478.52775
176	5475.84286
177	5473.495006
178	5471.269637
179	5468.354217
180	5463.791455
181	5459.670835
182	5454.246959
183	5450.331833
184	5446.290943
185	5444.384068
186	5441.619327
187	5436.967455
188	5433.953092
189	5431.532649
190	5429.317728
191	5425.99942
192	5419.997623
193	5418.05017
194	5416.381231
195	5412.986971
196	5409.357082
197	5405.713166
198	5402.898471
199	5399.941756
200	5398.056822
201	5394.913544
202	5391.229999
203	5388.328983
204	5385.952897
205	5383.241414
206	5380.766781
207	5377.118396
208	5374.387935
209	5371.871306
210	5370.00914
211	5366.445551
212	5363.404239
213	5361.233345
214	5358.180778
215	5355.247918
216	5352.586391
217	5349.34416
218	5344.83331
219	5340.926846
220	5337.267383
221	5334.783167
222	5333.066723
223	5330.892427
224	5328.248606
225	5325.629583
226	5323.630854
227	5321.241129
228	5318.304717
229	5313.671966
230	5311.295332
231	5307.613286
232	5305.751551
233	5303.487256
234	5301.607943
235	5299.118241
236	5297.658936
237	5296.013558
238	5293.999454
239	5289.681548
240	5287.60889
241	5286.25457
242	5282.449404
243	5280.14894
244	5277.705276
245	5276.638692
246	5273.187016
247	5268.872513
248	5266.528221
249	5262.299555
250	5259.008471
251	5256.924364
252	5254.527914
253	5251.089505
254	5248.971859
255	5247.59686
256	5246.200671
257	5243.29324
258	5240.875793
259	5237.671506
260	5234.963574
261	5233.397455
262	5229.904794
263	5227.063484
264	5222.574562
265	5219.593803
266	5216.983692
267	5214.750076
268	5212.312574
269	5210.140808
270	5208.42684
271	5206.802074
272	5204.556203
273	5202.7393
274	5200.370817
275	5197.898196
276	5195.766967
277	5192.931127
278	5190.502921
279	5188.328044
280	5185.662259
281	5183.433607
282	5180.046665
283	5176.408527
284	5174.683583
285	5171.398397
286	5168.524266
287	5166.632293
288	5164.731975
289	5161.556202
290	5159.383469
291	5157.751364
292	5155.61913
293	5153.326062
294	5151.254833
295	5149.63787
296	5147.972925
297	5145.847018
298	5144.318021
299	5141.76213
300	5139.710086
301	5137.971383
302	5135.630768
303	5134.182146
304	5132.555
305	5130.656949
306	5128.852728
307	5127.632938
308	5126.223305
309	5123.949364
310	5121.906806
311	5120.331985
312	5118.717933
313	5116.257822
314	5114.314169
315	5112.588107
316	5111.079101
317	5108.768387
318	5106.750051
319	5105.04135
320	5103.631621
321	5102.379502
322	5099.264254
323	5097.634216
324	5096.368182
325	5095.249219
326	5093.150248
327	5091.633109
328	5089.127969
329	5087.113661
330	5085.953791
331	5084.431526
332	5083.197975
333	5082.092558
334	5081.404006
335	5079.404417
336	5077.688988
337	5075.908324
338	5074.322555
339	5072.694526
340	5070.719635
341	5067.963137
342	5066.88008
343	5065.089647
344	5063.01193
345	5060.831761
346	5059.148604
347	5057.671412
348	5055.821723
349	5054.554193
350	5052.929188
351	5051.34875
352	5050.163811
353	5047.895614
354	5046.021269
355	5044.838779
356	5043.509495
357	5042.158424
358	5040.592784
359	5038.064887
360	5036.172257
361	5034.639335
362	5033.19586
363	5032.53093
364	5030.675879
365	5027.98606
366	5026.770078
367	5024.152447
368	5022.131762
369	5020.99628
370	5017.978958
371	5016.954523
372	5016.117027
373	5015.009869
374	5013.069641
375	5011.619509
376	5010.55154
377	5009.42677
378	5008.137147
379	5006.75933
380	5005.023106
381	5004.141585
382	5002.412204
383	5000.387422
384	4999.157138
385	4996.096925
386	4994.985448
387	4994.147756
388	4993.09354
389	4992.516652
390	4990.715938
391	4989.76603
392	4987.011968
393	4985.000966
394	4983.843225
395	4982.859677
396	4981.104422
397	4979.251399
398	4978.115106
399	4976.958088
400	4975.249219
401	4973.803259
402	4972.54561
403	4970.879387
404	4969.340982
405	4968.407771
406	4966.981448
407	4965.488935
408	4964.016256
409	4962.519144
410	4961.404068
411	4959.648354
412	4958.152577
413	4957.16689
414	4955.881868
415	4955.14444
416	4953.238372
417	4952.298416
418	4950.868888
419	4949.403027
420	4948.214992
421	4946.944332
422	4945.072326
423	4943.878281
424	4942.50161
425	4941.537245
426	4940.939202
427	4939.534267
428	4938.219671
429	4936.847146
430	4935.238741
431	4933.851386
432	4932.697091
433	4930.910346
434	4929.543541
435	4928.644028
436	4927.615124
437	4926.470202
438	4925.544528
439	4924.777413
440	4923.589561
441	4922.758287
442	4921.357159
