iter	Passed	Remaining
0	58	58464
1	90	45165
2	123	41168
3	160	39925
4	196	39144
5	232	38504
6	265	37630
7	298	36963
8	331	36509
9	370	36711
10	408	36698
11	447	36851
12	488	37060
13	529	37288
14	568	37340
15	610	37553
16	650	37632
17	690	37691
18	730	37735
19	771	37820
20	812	37888
21	856	38064
22	896	38072
23	936	38097
24	974	38016
25	1014	38013
26	1054	38002
27	1096	38079
28	1138	38105
29	1176	38038
30	1217	38061
31	1258	38081
32	1302	38158
33	1336	37964
34	1367	37706
35	1401	37527
36	1436	37400
37	1472	37266
38	1506	37109
39	1538	36935
40	1569	36701
41	1601	36528
42	1633	36348
43	1665	36189
44	1697	36024
45	1729	35861
46	1760	35688
47	1791	35522
48	1822	35380
49	1853	35223
50	1882	35022
51	1912	34866
52	1944	34749
53	1975	34605
54	2004	34433
55	2036	34326
56	2067	34198
57	2099	34103
58	2129	33960
59	2160	33846
60	2193	33761
61	2226	33682
62	2253	33519
63	2287	33447
64	2317	33341
65	2345	33194
66	2373	33050
67	2403	32941
68	2432	32817
69	2460	32691
70	2488	32554
71	2516	32430
72	2542	32289
73	2568	32135
74	2594	31994
75	2621	31877
76	2649	31756
77	2677	31654
78	2707	31565
79	2737	31481
80	2767	31398
81	2797	31318
82	2825	31219
83	2854	31128
84	2882	31027
85	2912	30953
86	2939	30849
87	2967	30757
88	2997	30685
89	3026	30597
90	3055	30519
91	3083	30432
92	3113	30361
93	3141	30274
94	3171	30216
95	3200	30137
96	3227	30043
97	3253	29942
98	3284	29887
99	3312	29814
100	3342	29748
101	3370	29672
102	3400	29612
103	3429	29547
104	3456	29466
105	3486	29404
106	3513	29319
107	3542	29257
108	3570	29186
109	3598	29111
110	3628	29057
111	3657	28996
112	3685	28931
113	3712	28853
114	3740	28786
115	3767	28711
116	3796	28655
117	3826	28602
118	3854	28533
119	3883	28482
120	3914	28436
121	3946	28402
122	3984	28406
123	4016	28373
124	4046	28328
125	4080	28306
126	4112	28271
127	4142	28222
128	4173	28180
129	4205	28143
130	4232	28076
131	4262	28028
132	4291	27977
133	4319	27918
134	4346	27847
135	4375	27799
136	4404	27746
137	4432	27686
138	4459	27622
139	4486	27557
140	4513	27496
141	4542	27448
142	4573	27410
143	4604	27372
144	4631	27312
145	4660	27263
146	4686	27195
147	4714	27137
148	4741	27081
149	4768	27021
150	4797	26972
151	4826	26929
152	4854	26874
153	4881	26817
154	4910	26768
155	4937	26712
156	4968	26675
157	4995	26621
158	5021	26561
159	5048	26506
160	5079	26470
161	5106	26416
162	5136	26375
163	5165	26329
164	5193	26284
165	5221	26232
166	5251	26194
167	5282	26159
